suggerisco suggerisci suggerisce suggeriamo suggerite suggeriscono 
spero speri spera speriamo sperate sperano 
accorgo accorgi accorge accorgiamo accorgete accorgono 
sono sei è siamo siete sono 
metto metti mette mettiamo mettete mettono 
posso puoi può possiamo possete possono 
risono risei riè risiamo risiete risono 
noio noi noia noiamo noiate noiano 
esisto esisti esiste esistiamo esistete esistono 
posso puoi può possiamo potete possono 
risono risei riè risiamo risiete risono 
alzo alzi alza alziamo alzate alzano 
alzo alzi alza alziamo alzate alzano 
sono sei è siamo siete sono 
cinto cinti cinta cintiamo cintate cintano 
singhiozzo singhiozzi singhiozza singhiozziamo singhiozzate singhiozzano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
prendo prendi prende prendiamo prendete prendono 
fisso fissi fissa fissiamo fissate fissano 
occo occhi occa occhiamo occate occano 
dò dai da diamo date danno 
sospiro sospiri sospira sospiriamo sospirate sospirano 
devo devi deve dobbiamo dovete debbono 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
chiedo chiedi chiede chiediamo chiedete chiedono 
faccio fai fa faciamo facete facciono 
segno segni segna segniamo segnate segnano 
testo testi testa testiamo testate testano 
contro contri contra contriamo contrate contrano 
vinco vinci vince vinciamo vincete vincono 
piano piani piana pianiamo pianate pianano 
sopro sopri sopra sopriamo soprate soprano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
scalo scali scala scaliamo scalate scalano 
esisto esisti esiste esistiamo esistete esistono 
gradino gradini gradina gradiniamo gradinate gradinano 
sono sei è siamo siete sono 
ridotto ridotti ridotta ridottiamo ridottate ridottano 
ammasso ammassi ammassa ammassiamo ammassate ammassano 
blocco blocchi blocca blocchiamo bloccate bloccano 
sagrato sagrati sagrata sagratiamo sagratate sagratano 
graffio graffi graffia graffiamo graffiate graffiano 
scortico scortichi scortica scortichiamo scorticate scorticano 
destro destri destra destriamo destrate destrano 
calogno calogni calogna calogniamo calognate calognano 
parapetto parapetti parapetta parapettiamo parapettate parapettano 
parlo parli parla parliamo parlate parlano 
frano frani frana franiamo franate franano 
finisco finisci finisce finiamo finite finiscono 
rodo rodi rode rodiamo rodete rodono 
sono sei è siamo siete sono 
becco becchi becca becchiamo beccate beccano 
faccio fai fa faciamo facete facciono 
sagrato sagrati sagrata sagratiamo sagratate sagratano 
piano piani piana pianiamo pianate pianano 
fondo fondi fonda fondiamo fondate fondano 
salino salini salina saliniamo salinate salinano 
scavigliare scavitolare scavizzolare scazzare scazzeggiare scazzottare 
temo temi teme temiamo temete temono 
costringo costringi costringe costringiamo costringete costringono 
morigerare morire mormoracchiare mormorare mormoreggiare mormoricchiare 
mazzo mazzi mazza mazziamo mazzate mazzano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
coso cosi cosa cosiamo cosate cosano 
massimo massimi massima massimiamo massimate massimano 
fedo fedi feda fediamo fedate fedano 
dento denti denta dentiamo dentate dentano 
avanzo avanzi avanza avanziamo avanzate avanzano 
sto stai sta stiamo state stanno 
seggo siedi siede sediamo sedete seggono 
scasso scassi scassa scassiamo scassate scassano 
corno corni corna corniamo cornate cornano 
arrivo arrivi arriva arriviamo arrivate arrivano 
consiglio consigli consiglia consigliamo consigliate consigliano 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
sono sei è siamo siete sono 
pieno pieni piena pieniamo pienate pienano 
faccio fai fa faciamo facete facciono 
sto stai sta stiamo state stanno 
sempiternare semplicizzare semplificare senapizzare senilizzare sensazionalizzare 
terrazzo terrazzi terrazza terrazziamo terrazzate terrazzano 
spazio spazi spazia spaziamo spaziate spaziano 
stringo stringi stringe stringiamo stringete stringono 
sono sei è siamo siete sono 
infilo infili infila infiliamo infilate infilano 
sono sei è siamo siete sono 
arrivo arrivi arriva arriviamo arrivate arrivano 
porto porti porta portiamo portate portano 
cateno cateni catena cateniamo catenate catenano 
lucchetto lucchetti lucchetta lucchettiamo lucchettate lucchettano 
mangio mangi mangia mangiamo mangiate mangiano 
sono sei è siamo siete sono 
apro apri apre apriamo aprite aprono 
spingo spigni spigne spigniamo spignete spingono 
batto batti batte battiamo battete battono 
porto porti porta portiamo portate portano 
frodo frodi froda frodiamo frodate frodano 
alo ali ala aliamo alate alano 
volo voli vola voliamo volate volano 
sono sei è siamo siete sono 
esco esci esce usciamo uscite escono 
attraverso attraversi attraversa attraversiamo attraversate attraversano 
buco buchi buca buchiamo bucate bucano 
tetto tetti tetta tettiamo tettate tettano 
sento senti sente sentiamo sentite sentono 
domando domandi domanda domandiamo domandate domandano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
peno peni pena peniamo penate penano 
entro entri entra entriamo entrate entrano 
attento attenti attenta attentiamo attentate attentano 
metto metti mette mettiamo mettete mettono 
sono sei è siamo siete sono 
penzolo penzoli penzola penzoliamo penzolate penzolano 
centro centri centra centriamo centrate centrano 
angolo angoli angola angoliamo angolate angolano 
camino camini camina caminiamo caminate caminano 
cappo cappi cappa cappiamo cappate cappano 
formo formi forma formiamo formate formano 
fumo fumi fuma fumiamo fumate fumano 
sono sei è siamo siete sono 
mobilio mobili mobilia mobiliamo mobiliate mobiliano 
vecchio vecchi vecchia vecchiamo vecchiate vecchiano 
cucino cucini cucina cuciniamo cucinate cucinano 
sono sei è siamo siete sono 
coperto coperti coperta copertiamo copertate copertano 
tanfo tanfi tanfa tanfiamo tanfate tanfano 
ficco ficchi ficca ficchiamo ficcate ficcano 
fondo fondi fonda fondiamo fondate fondano 
naso nasi nasa nasiamo nasate nasano 
pavimento pavimenti pavimenta pavimentiamo pavimentate pavimentano 
sono sei è siamo siete sono 
fondo fondi fonda fondiamo fondate fondano 
rosso rossi rossa rossiamo rossate rossano 
sicuro sicuri sicura sicuriamo sicurate sicurano 
dò dai da diamo date danno 
partur(isc)o partur(isc)i partur(isc)e parturiamo parturite partur(isc)ono 
poggio poggi poggia poggiamo poggiate poggiano 
soglio suoli suole sogliamo solete sogliono 
assio assi assia assiamo assiate assiano 
pavimento pavimenti pavimenta pavimentiamo pavimentate pavimentano 
ondeggio ondeggi ondeggia ondeggiamo ondeggiate ondeggiano 
peso pesi pesa pesiamo pesate pesano 
meno meni mena meniamo menate menano 
como comi come comiamo comete comono 
centro centri centra centriamo centrate centrano 
pavimento pavimenti pavimenta pavimentiamo pavimentate pavimentano 
arreto arreti arreta arretiamo arretate arretano 
porto porti porta portiamo portate portano 
sono sei è siamo siete sono 
calogno calogni calogna calogniamo calognate calognano 
rado radi rade radiamo radete radono 
muro muri mura muriamo murate murano 
respiro respiri respira respiriamo respirate respirano 
punto punti punta puntiamo puntate puntano 
seguo segui segue seguiamo seguite seguono 
perimetro perimetri perimetra perimetriamo perimetrate perimetrano 
sfondo sfondi sfonda sfondiamo sfondate sfondano 
finisco finisci finisce finiamo finite finiscono 
stallo stalli stalla stalliamo stallate stallano 
dopo dopi dopa dopiamo dopate dopano 
volo voli vola voliamo volate volano 
dò dai da diamo date danno 
sono sei è siamo siete sono 
— — accade — — accadono 
dopo dopi dopa dopiamo dopate dopano 
meno meni mena meniamo menate menano 
como comi come comiamo comete comono 
cucino cucini cucina cuciniamo cucinate cucinano 
manco manchi manca manchiamo mancate mancano 
lato lati late latiamo latete latono 
sono sei è siamo siete sono 
crollo crolli crolla crolliamo crollate crollano 
oro ori ora oriamo orate orano 
unisco unisci unisce uniamo unite uniscono 
porto porti porta portiamo portate portano 
sono sei è siamo siete sono 
travio travi travia traviamo traviate traviano 
reggo reggi regge reggiamo reggete reggono 
pavimento pavimenti pavimenta pavimentiamo pavimentate pavimentano 
sono sei è siamo siete sono 
solo soli sola soliamo solate solano 
centro centri centra centriamo centrate centrano 
sono sei è siamo siete sono 
posso puoi può possiamo potete possono 
sdrucinare sdrucire sdrumare sdrusciare sdruscire sdubbiare 
muro muri mura muriamo murate murano 
tocco tocchi tocca tocchiamo toccate toccano 
attorciglio attorcigli attorciglia attorcigliamo attorcigliate attorcigliano 
travio travi travia traviamo traviate traviano 
devo devi deve dobbiamo dovete debbono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
miglioro migliori migliora miglioriamo migliorate migliorano 
sono sei è siamo siete sono 
paralizzo paralizzi paralizza paralizziamo paralizzate paralizzano 
porto porti porta portiamo portate portano 
posso puoi può possiamo potete possono 
tonneggio tonneggi tonneggia tonneggiamo tonneggiate tonneggiano 
indietro indietri indietra indietriamo indietrate indietrano 
rompo rompi rompe rompiamo rompete rompono 
butto butti butta buttiamo buttate buttano 
divido dividi divide dividiamo dividete dividono 
stallo stalli stalla stalliamo stallate stallano 
diposito dipositi diposita dipositiamo dipositate dipositano 
sono sei è siamo siete sono 
arreto arreti arreta arretiamo arretate arretano 
certo certi certa certiamo certate certano 
brutto brutti brutta bruttiamo bruttate bruttano 
scherzo scherzi scherza scherziamo scherzate scherzano 
dopo dopi dopa dopiamo dopate dopano 
sono sei è siamo siete sono 
anagrammatizzo anagrammatizzi anagrammatizza anagrammatizziamo anagrammatizzate anagrammatizzano 
sciaguatto sciaguatti sciaguatta sciaguattiamo sciaguattate sciaguattano 
giorno giorni giorna giorniamo giornate giornano 
sbaglio sbagli sbaglia sbagliamo sbagliate sbagliano 
nevico nevichi nevica nevichiamo nevicate nevicano 
faccio fai fa faciamo facete facciono 
freddo freddi fredda freddiamo freddate freddano 
tiro tiri tira tiriamo tirate tirano 
ghiaccio ghiacci ghiaccia ghiacciamo ghiacciate ghiacciano 
sciaguatto sciaguatti sciaguatta sciaguattiamo sciaguattate sciaguattano 
sono sei è siamo siete sono 
volto volti volta voltiamo voltate voltano 
solo soli sola soliamo solate solano 
importo importi importa importiamo importate importano 
sono sei è siamo siete sono 
voglio vuoi vuole vogliamo volete vogliono 
sciaguatto sciaguatti sciaguatta sciaguattiamo sciaguattate sciaguattano 
monto monti monta montiamo montate montano 
imbacucco imbacucchi imbacucca imbacucchiamo imbacuccate imbacuccano 
como comi come comiamo comete comono 
sono sei è siamo siete sono 
parto parti parte partiamo partite partono 
sono sei è siamo siete sono 
spengo spegni spegne spegniamo spegnete spengono 
riavvio riavvii riavvia riavviamo riavviate riavviano 
solo soli sola soliamo solate solano 
blocco blocchi blocca blocchiamo bloccate bloccano 
quarto quarti quarta quartiamo quartate quartano 
— — venta — — — 
minuto minuti minuta minutiamo minutate minutano 
impastocchio impastocchi impastocchia impastocchiamo impastocchiate impastocchiano 
riesco riesci riesce riusciamo riuscite riescono 
vanvereggio vanvereggi vanvereggia vanvereggiamo vanvereggiate vanvereggiano 
sono sei è siamo siete sono 
vuoto vuoti vuota vuotiamo vuotate vuotano 
piano piani piana pianiamo pianate pianano 
smetto smetti smette smettiamo smettete smettono 
sempiternare semplicizzare semplificare senapizzare senilizzare sensazionalizzare 
mango mani mane maniamo manete mangono 
sono sei è siamo siete sono 
fatico fatichi fatica fatichiamo faticate faticano 
cado cadi cade cadiamo cadete cadono 
certo certi certa certiamo certate certano 
pungo pugni pugne pugniamo pugnete pungono 
comincio cominci comincia cominciamo cominciate cominciano 
raggrommo raggrommi raggromma raggrommiamo raggrommate raggrommano 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
forzo forzi forza forziamo forzate forzano 
sono sei è siamo siete sono 
detto detti detta dettiamo dettate dettano 
addormento addormenti addormenta addormentiamo addormentate addormentano 
sono sei è siamo siete sono 
moro mori more moriamo morete morono 
urlo urli urla urliamo urlate urlano 
chiedo chiedi chiede chiediamo chiedete chiedono 
aiuto aiuti aiuta aiutiamo aiutate aiutano 
rispondo rispondi risponde rispondiamo rispondete rispondono 
guardo guardi guarda guardiamo guardate guardano 
basso bassi bassa bassiamo bassate bassano 
pisto pisti pista pistiamo pistate pistano 
storio stori storia storiamo storiate storiano 
duro duri dura duriamo durate durano 
butto butti butta buttiamo buttate buttano 
sono sei è siamo siete sono 
apro apri apre apriamo aprite aprono 
sono sei è siamo siete sono 
moro mori more moriamo morete morono 
salvo salvi salva salviamo salvate salvano 
sono sei è siamo siete sono 
butto butti butta buttiamo buttate buttano 
irrigidisco irrigidisci irrigidisce irrigidiamo irrigidite irrigidiscono 
faccio fai fa faciamo facete facciono 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
ripeto ripeti ripete ripetiamo ripetete ripetono 
sollevo sollevi solleva solleviamo sollevate sollevano 
sbarro sbarri sbarra sbarriamo sbarrate sbarrano 
comincio cominci comincia cominciamo cominciate cominciano 
fortuno fortuni fortuna fortuniamo fortunate fortunano 
sono sei è siamo siete sono 
riprendo riprendi riprende riprendiamo riprendete riprendono 
abbasso abbassi abbassa abbassiamo abbassate abbassano 
sbarro sbarri sbarra sbarriamo sbarrate sbarrano 
altisco altisci altisce altiamo altite altiscono 
como comi come comiamo comete comono 
minimo minimi minima minimiamo minimate minimano 
spezzo spezzi spezza spezziamo spezzate spezzano 
provo provi prova proviamo provate provano 
stesso stessi stesse stessiamo stessete stessono 
coso cosi cosa cosiamo cosate cosano 
sono sei è siamo siete sono 
ricordo ricordi ricorda ricordiamo ricordate ricordano 
lego legi lege legiamo legete legono 
libro libri libra libriamo librate librano 
posso puoi può possiamo possete possono 
sagrato sagrati sagrata sagratiamo sagratate sagratano 
muro muri mura muriamo murate murano 
perfetto perfetti perfetta perfettiamo perfettate perfettano 
peso pesi pesa pesiamo pesate pesano 
scarico scarichi scarica scarichiamo scaricate scaricano 
solo soli sola soliamo solate solano 
affondo affondi affonda affondiamo affondate affondano 
mobilio mobili mobilia mobiliamo mobiliate mobiliano 
coso cosi cosa cosiamo cosate cosano 
devo devi deve dobbiamo dovete debbono 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
sono sei è siamo siete sono 
inginocchio inginocchi inginocchia inginocchiamo inginocchiate inginocchiano 
sono sei è siamo siete sono 
stendo stendi stende stendiamo stendete stendono 
comincio cominci comincia cominciamo cominciate cominciano 
movimento movimenti movimenta movimentiamo movimentate movimentano 
faccio fai fa faciamo facete facciono 
cado cadi cade cadiamo cadete cadono 
como comi come comiamo comete comono 
ripeto ripeti ripete ripetiamo ripetete ripetono 
travio travi travia traviamo traviate traviano 
travaso travasi travasa travasiamo travasate travasano 
metto metti mette mettiamo mettete mettono 
minuto minuti minuta minutiamo minutate minutano 
sono sei è siamo siete sono 
arrivo arrivi arriva arriviamo arrivate arrivano 
sano sani sana saniamo sanate sanano 
salvo salvi salva salviamo salvate salvano 
parto parti parte partiamo partite partono 
spingo spigni spigne spigniamo spignete spingono 
porto porti porta portiamo portate portano 
fondo fondi fonda fondiamo fondate fondano 
dò dai da diamo date danno 
ramo rami rama ramiamo ramate ramano 
fino fini fina finiamo finate finano 
pavimento pavimenti pavimenta pavimentiamo pavimentate pavimentano 
cedo cedi cede cediamo cedete cedono 
solo soli sola soliamo solate solano 
resisto resisti resiste resistiamo resistete resistono 
uso usi usa usiamo usate usano 
vecchio vecchi vecchia vecchiamo vecchiate vecchiano 
calogno calogni calogna calogniamo calognate calognano 
appiccico appiccichi appiccica appiccichiamo appiccicate appiccicano 
veggo vedi vede vediamo vedete vedono 
resto resti resta restiamo restate restano 
vuoto vuoti vuota vuotiamo vuotate vuotano 
devo devi deve dobbiamo dovete debbono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
sono sei è siamo siete sono 
dò dai da diamo date danno 
arrivo arrivi arriva arriviamo arrivate arrivano 
intoppo intoppi intoppa intoppiamo intoppate intoppano 
guardo guardi guarda guardiamo guardate guardano 
recinto recinti recinta recintiamo recintate recintano 
dò dai da diamo date danno 
fascio fasci fascia fasciamo fasciate fasciano 
premo premi preme premiamo premete premono 
cemento cementi cementa cementiamo cementate cementano 
crepo crepi crepa crepiamo crepate crepano 
arrugginisco arrugginisci arrugginisce arrugginiamo arrugginite arrugginiscono 
coperto coperti coperta copertiamo copertate copertano 
edero ederi edera ederiamo ederate ederano 
ramo rami rama ramiamo ramate ramano 
devo devi deve dobbiamo dovete debbono 
sagrato sagrati sagrata sagratiamo sagratate sagratano 
sono sei è siamo siete sono 
vicino vicini vicina viciniamo vicinate vicinano 
meno meni mena meniamo menate menano 
dò dai da diamo date danno 
arreto arreti arreta arretiamo arretate arretano 
falseggio falseggi falseggia falseggiamo falseggiate falseggiano 
como comi come comiamo comete comono 
infondo infondi infonda infondiamo infondate infondano 
trovo trovi trova troviamo trovate trovano 
scavigliare scavitolare scavizzolare scazzare scazzeggiare scazzottare 
monto monti monta montiamo montate montano 
sono sei è siamo siete sono 
faccio fai fa faciamo facete facciono 
sono sei è siamo siete sono 
lancio lanci lancia lanciamo lanciate lanciano 
como comi come comiamo comete comono 
foresto foresti foresta forestiamo forestate forestano 
finisco finisci finisce finiamo finite finiscono 
pancio panci pancia panciamo panciate panciano 
provo provi prova proviamo provate provano 
sono sei è siamo siete sono 
uso usi usa usiamo usate usano 
appiglio appigli appiglia appigliamo appigliate appigliano 
comincio cominci comincia cominciamo cominciate cominciano 
sciolgo sciogli scioglie sciogliamo sciogliete sciolgono 
sono sei è siamo siete sono 
ramo rami rama ramiamo ramate ramano 
sto stai sta stiamo state stanno 
centimetro centimetri centimetra centimetriamo centimetrate centimetrano 
sono sei è siamo siete sono 
carico carichi carica carichiamo caricate caricano 
scatto scatti scatta scattiamo scattate scattano 
afferro afferri afferra afferriamo afferrate afferrano 
mango mani mane maniamo manete mangono 
secco secchi secca secchiamo seccate seccano 
sono sei è siamo siete sono 
spezzo spezzi spezza spezziamo spezzate spezzano 
atterro atterri atterra atterriamo atterrate atterrano 
schieno schieni schiena schieniamo schienate schienano 
rimango rimani rimane rimaniamo rimanete rimangono 
sicuro sicuri sicura sicuriamo sicurate sicurano 
rompo rompi rompe rompiamo rompete rompono 
collo colli colla colliamo collate collano 
sto stai sta stiamo state stanno 
stendo stendi stende stendiamo stendete stendono 
pietrifico pietrifichi pietrifica pietrifichiamo pietrificate pietrificano 
ramo rami rama ramiamo ramate ramano 
cantileno cantileni cantilena cantileniamo cantilenate cantilenano 
soffro soffri soffre soffriamo soffrite soffrono 
sono sei è siamo siete sono 
spegno spegni spegna spegniamo spegnate spegnano 
infilo infili infila infiliamo infilate infilano 
sento senti sente sentiamo sentite sentono 
apro apri apre apriamo aprite aprono 
occo occhi occa occhiamo occate occano 
rimango rimani rimane rimaniamo rimanete rimangono 
fiorentineggio fiorentineggi fiorentineggia fiorentineggiamo fiorentineggiate fiorentineggiano 
incombo incombi incombe incombiamo incombete incombono 
censuro censuri censura censuriamo censurate censurano 
solfito solfiti solfita solfitiamo solfitate solfitano 
testo testi testa testiamo testate testano 
butto butti butta buttiamo buttate buttano 
ramo rami rama ramiamo ramate ramano 
tocco tocchi tocca tocchiamo toccate toccano 
mango mani mane maniamo manete mangono 
scopro scopri scopre scopriamo scoprite scoprono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
coso cosi cosa cosiamo cosate cosano 
sono sei è siamo siete sono 
riveggo rivedi rivede rivediamo rivedete rivedono 
precipito precipiti precipita precipitiamo precipitate precipitano 
volo voli vola voliamo volate volano 
sono sei è siamo siete sono 
basso bassi bassa bassiamo bassate bassano 
cupo cupi cupe cupiamo cupete cupono 
sono sei è siamo siete sono 
atterro atterri atterra atterriamo atterrate atterrano 
sento senti sente sentiamo sentite sentono 
muovo muovi muove m(u)oviamo m(u)ovete muovono 
scopro scopri scopre scopriamo scoprite scoprono 
ondulo onduli ondula onduliamo ondulate ondulano 
plastico plastichi plastica plastichiamo plasticate plasticano 
traspaio traspari traspare traspariamo trasparite traspaiono 
stato stati stata statiamo statate statano 
como comi come comiamo comete comono 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
poggio poggi poggia poggiamo poggiate poggiano 
sopro sopri sopra sopriamo soprate soprano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
piego pieghi piega pieghiamo piegate piegano 
devo devi deve dobbiamo dovete debbono 
esprobro esprobri esprobra esprobriamo esprobrate esprobrano 
vuoto vuoti vuota vuotiamo vuotate vuotano 
segreto segreti segreta segretiamo segretate segretano 
pieno pieni piena pieniamo pienate pienano 
sono sei è siamo siete sono 
metto metti mette mettiamo mettete mettono 
spingo spigni spigne spigniamo spignete spingono 
lastro lastri lastra lastriamo lastrate lastrano 
piano piani piana pianiamo pianate pianano 
piano piani piana pianiamo pianate pianano 
sono sei è siamo siete sono 
sprigiono sprigioni sprigiona sprigioniamo sprigionate sprigionano 
tanfo tanfi tanfa tanfiamo tanfate tanfano 
vacillo vacilli vacilla vacilliamo vacillate vacillano 
sono sei è siamo siete sono 
metto metti mette mettiamo mettete mettono 
bocco bocchi bocca bocchiamo boccate boccano 
ancoro ancori ancora ancoriamo ancorate ancorano 
casco caschi casca caschiamo cascate cascano 
sopro sopri sopra sopriamo soprate soprano 
buco buchi buca buchiamo bucate bucano 
sposto sposti sposta spostiamo spostate spostano 
lastro lastri lastra lastriamo lastrate lastrano 
rischiaro rischiari rischiara rischiariamo rischiarate rischiarano 
sono sei è siamo siete sono 
scavo scavi scava scaviamo scavate scavano 
colpo colpi colpa colpiamo colpate colpano 
vango vanghi vanga vanghiamo vangate vangano 
sono sei è siamo siete sono 
sto stai sta stiamo state stanno 
taglio tagli taglia tagliamo tagliate tagliano 
riesco riesci riesce riusciamo riuscite riescono 
ancoro ancori ancora ancoriamo ancorate ancorano 
buco buchi buca buchiamo bucate bucano 
sono sei è siamo siete sono 
paio pari pare paiamo parete paiono 
profondo profondi profonda profondiamo profondate profondano 
vuoto vuoti vuota vuotiamo vuotate vuotano 
pelo peli pela peliamo pelate pelano 
bianco bianchi bianca bianchiamo biancate biancano 
faccio fai fa faciamo facete facciono 
salto salti salta saltiamo saltate saltano 
indietro indietri indietra indietriamo indietrate indietrano 
sono sei è siamo siete sono 
inciampo inciampi inciampa inciampiamo inciampate inciampano 
prendo prendi prende prendiamo prendete prendono 
fiato fiati fiata fiatiamo fiatate fiatano 
sono sei è siamo siete sono 
affaccio affacci affaccia affacciamo affacciate affacciano 
isto istai ista istiamo istate istanno 
sento senti sente sentiamo sentite sentono 
testo testi testa testiamo testate testano 
svecchio svecchi svecchia svecchiamo svecchiate svecchiano 
sono sei è siamo siete sono 
seggo siedi siede sediamo sedete seggono 
chiudo chiudi chiude chiudiamo chiudete chiudono 
occo occhi occa occhiamo occate occano 
poggio poggi poggia poggiamo poggiate poggiano 
respiro respiri respira respiriamo respirate respirano 
scapo scapi scapa scapiamo scapate scapano 
dicerno dicerni dicerne dicerniamo dicernete dicernono 
posso puoi può possiamo potete possono 
volto volti volta voltiamo voltate voltano 
sono sei è siamo siete sono 
avvicino avvicini avvicina avviciniamo avvicinate avvicinano 
sporgo sporgi sporge sporgiamo sporgete sporgono 
testo testi testa testiamo testate testano 
gomisco gomisci gomisce gomiamo gomite gomiscono 
spunto spunti spunta spuntiamo spuntate spuntano 
fondo fondi fonda fondiamo fondate fondano 
buco buchi buca buchiamo bucate bucano 
stendo stendi stende stendiamo stendete stendono 
fianco fianchi fianca fianchiamo fiancate fiancano 
testo testi testa testiamo testate testano 
moro mori more moriamo morete morono 
rimango rimani rimane rimaniamo rimanete rimangono 
so sai sa sappiamo sapete sanno 
dormo dormi dorme dormiamo dormite dormono 
prendo prendi prende prendiamo prendete prendono 
sasso sassi sassa sassiamo sassate sassano 
tiro tiri tira tiriamo tirate tirano 
sono sei è siamo siete sono 
muovo muovi muove m(u)oviamo m(u)ovete muovono 
moro mori more moriamo morete morono 
mordo mordi morde mordiamo mordete mordono 
prendo prendi prende prendiamo prendete prendono 
sasso sassi sassa sassiamo sassate sassano 
colpisco colpisci colpisce colpiamo colpite colpiscono 
collo colli colla colliamo collate collano 
movimento movimenti movimenta movimentiamo movimentate movimentano 
sto stai sta stiamo state stanno 
sto stai sta stiamo state stanno 
sono sei è siamo siete sono 
finisco finisci finisce finiamo finite finiscono 
sto stai sta stiamo state stanno 
chiamo chiami chiama chiamiamo chiamate chiamano 
afferro afferri afferra afferriamo afferrate afferrano 
lastro lastri lastra lastriamo lastrate lastrano 
fino fini fina finiamo finate finano 
tanaglio tanagli tanaglia tanagliamo tanagliate tanagliano 
buco buchi buca buchiamo bucate bucano 
sparpaglio sparpagli sparpaglia sparpagliamo sparpagliate sparpagliano 
rimetto rimetti rimette rimettiamo rimettete rimettono 
sto stai sta stiamo state stanno 
vado vai va andiamo andate vanno 
sono sei è siamo siete sono 
giro giri gira giriamo girate girano 
paio pari pare paiamo parete paiono 
contrisco contrisci contrisce contriamo contrite contriscono 
coso cosi cosa cosiamo cosate cosano 
sono sei è siamo siete sono 
pongo poni pone poniamo ponete pongono 
sono sei è siamo siete sono 
pallo palli palla palliamo pallate pallano 
rosso rossi rossa rossiamo rossate rossano 
equo equi equa equiamo equate equano 
sono sei è siamo siete sono 
finisco finisci finisce finiamo finite finiscono 
grano grani grana graniamo granate granano 
sono sei è siamo siete sono 
coso cosi cosa cosiamo cosate cosano 
violo violi viola violiamo violate violano 
chiedo chiedi chiede chiediamo chiedete chiedono 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
cado cadi cade cadiamo cadete cadono 
sto stai sta stiamo state stanno 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
rispondo rispondi risponde rispondiamo rispondete rispondono 
monosillabo monosillabi monosillaba monosillabiamo monosillabate monosillabano 
prendo prendi prende prendiamo prendete prendono 
ritorno ritorni ritorna ritorniamo ritornate ritornano 
parto parti parte partiamo partite partono 
attraverso attraversi attraversa attraversiamo attraversate attraversano 
campo campi campa campiamo campate campano 
raggiungo raggiungi raggiunge raggiungiamo raggiungete raggiungono 
strado stradi strada stradiamo stradate stradano 
recupero recuperi recupera recuperiamo recuperate recuperano 
pedalo pedali pedala pedaliamo pedalate pedalano 
silenzio silenzi silenzia silenziamo silenziate silenziano 
ronzo ronzi ronza ronziamo ronzate ronzano 
intorno intorni intorna intorniamo intornate intornano 
seguo segui segue seguiamo seguite seguono 
mangio mangi mangia mangiamo mangiate mangiano 
avanzo avanzi avanza avanziamo avanzate avanzano 
zigzago zigzaghi zigzaga zigzaghiamo zigzagate zigzagano 
penso pensi pensa pensiamo pensate pensano 
buco buchi buca buchiamo bucate bucano 
detto detti detta dettiamo dettate dettano 
sono sei è siamo siete sono 
trovo trovi trova troviamo trovate trovano 
decido decidi decide decidiamo decidete decidono 
sono sei è siamo siete sono 
fondo fondi fonda fondiamo fondate fondano 
buco buchi buca buchiamo bucate bucano 
sono sei è siamo siete sono 
dico dici dice diciamo dicete dicono 
como comi come comiamo comete comono 
prendo prendi prende prendiamo prendete prendono 
racconto racconti racconta raccontiamo raccontate raccontano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
decarburo decarburi decarbura decarburiamo decarburate decarburano 
sagrato sagrati sagrata sagratiamo sagratate sagratano 
sopro sopri sopra sopriamo soprate soprano 
volto volti volta voltiamo voltate voltano 
faccio fai fa faciamo facete facciono 
sono sei è siamo siete sono 
trovo trovi trova troviamo trovate trovano 
sono sei è siamo siete sono 
sono sei è siamo siete sono 
segreto segreti segreta segretiamo segretate segretano 
so sai sa sappiamo sapete sanno 
trovo trovi trova troviamo trovate trovano 
moro mori more moriamo morete morono 
vivo vivi vive viviamo vivete vivono 
sono sei è siamo siete sono 
muovo muovi muove m(u)oviamo m(u)ovete muovono 
divido dividi divide dividiamo dividete dividono 
continuo continui continua continuiamo continuate continuano 
calogno calogni calogna calogniamo calognate calognano 
como comi come comiamo comete comono 
pollo polli polla polliamo pollate pollano 
testo testi testa testiamo testate testano 
sbatto sbatti sbatte sbattiamo sbattete sbattono 
alo ali ala aliamo alate alano 
faccio fai fa faciamo facete facciono 
dico dici dice diciamo dicete dicono 
mammo mammi mamma mammiamo mammate mammano 
sono sei è siamo siete sono 
accorgo accorgi accorge accorgiamo accorgete accorgono 
pedalo pedali pedala pedaliamo pedalate pedalano 
